source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status
en	pt	HP:0000001	rdfs:label	All	Todos	OFFICIAL
en	pt	HP:0000002	rdfs:label	Abnormality of body height	Anomalia da altura corporal	OFFICIAL
en	pt	HP:0000003	rdfs:label	Multicystic kidney dysplasia	Displasia renal multicística	OFFICIAL
en	pt	HP:0000005	rdfs:label	Mode of inheritance	Modo de herança	OFFICIAL
en	pt	HP:0000006	rdfs:label	Autosomal dominant inheritance	Herança autossômica dominante	OFFICIAL
en	pt	HP:0000007	rdfs:label	Autosomal recessive inheritance	Herança autossômica recessiva	OFFICIAL
en	pt	HP:0000008	rdfs:label	Abnormal morphology of female internal genitalia	Morfologia anormal da genitália feminina interna	OFFICIAL
en	pt	HP:0000009	rdfs:label	Functional abnormality of the bladder	Anomalia funcional da bexiga	OFFICIAL
en	pt	HP:0000010	rdfs:label	Recurrent urinary tract infections	Infecções recorrentes do trato urinário	OFFICIAL
en	pt	HP:0000011	rdfs:label	Neurogenic bladder	Bexiga neurogênica	OFFICIAL
en	pt	HP:0000012	rdfs:label	Urinary urgency	Urgência miccional	OFFICIAL
en	pt	HP:0000013	rdfs:label	Hypoplasia of the uterus	Hipoplasia uterina	OFFICIAL
en	pt	HP:0000014	rdfs:label	Abnormality of the bladder	Anomalia da bexiga	OFFICIAL
en	pt	HP:0000015	rdfs:label	Bladder diverticulum	Divertículo vesical	OFFICIAL
en	pt	HP:0000016	rdfs:label	Urinary retention	Retenção urinária	OFFICIAL
en	pt	HP:0000017	rdfs:label	Nocturia	Noctúria	OFFICIAL
en	pt	HP:0000019	rdfs:label	Urinary hesitancy	Hesitação urinária	OFFICIAL
en	pt	HP:0000020	rdfs:label	Urinary incontinence	Incontinência urinária	OFFICIAL
en	pt	HP:0000021	rdfs:label	Megacystis	Megabexiga	OFFICIAL
en	pt	HP:0000022	rdfs:label	Abnormal male internal genitalia morphology	Morfologia anormal da genitália masculina interna	OFFICIAL
en	pt	HP:0000023	rdfs:label	Inguinal hernia	Hérnia inguinal	OFFICIAL
en	pt	HP:0000024	rdfs:label	Prostatitis	Prostatite	OFFICIAL
en	pt	HP:0000025	rdfs:label	Functional abnormality of male internal genitalia	Anomalia funcional da genitália masculina interna	OFFICIAL
en	pt	HP:0000026	rdfs:label	Male hypogonadism	Hipogonadismo masculino	OFFICIAL
en	pt	HP:0000027	rdfs:label	Azoospermia	Azoospermia	OFFICIAL
en	pt	HP:0000028	rdfs:label	Cryptorchidism	Criptorquidia	OFFICIAL
en	pt	HP:0000029	rdfs:label	Testicular atrophy	Atrofia testicular	OFFICIAL
en	pt	HP:0000030	rdfs:label	Testicular gonadoblastoma	Gonadoblastoma testicular	OFFICIAL
en	pt	HP:0000031	rdfs:label	Epididymitis	Epididimite	OFFICIAL
en	pt	HP:0000032	rdfs:label	Abnormal male external genitalia morphology	Morfologia anormal da genitália masculina externa	OFFICIAL
en	pt	HP:0000033	rdfs:label	Ambiguous genitalia, male	Genitália ambígua, no sexo masculino	OFFICIAL
en	pt	HP:0000034	rdfs:label	Hydrocele testis	Hidrocele testicular	OFFICIAL
